od,count,mean,std,min,2.5%,25%,50%,75%,97.5%,max
SChina-JapanKorea,519318.0,223.46236072540222,102.67783681129217,0.001609853153468066,17.656216105035895,140.65393224926822,250.08401192316455,317.1447591387917,347.3728396398698,364.9995184262673
SChina-NChina,1008053.0,146.06608674172577,112.39580742999703,0.00015418422890434158,7.263359347403822,56.87900972775651,101.62860429266289,247.74941911889755,357.4742041427407,364.99983525561447
Qinghai-Europe,33103.0,114.32305455474236,125.18425689464267,0.0007884038620886713,3.3013858916689856,29.945899045539477,58.097011595781396,119.46799340831944,361.3203288275849,364.99409703494393
NChina-Europe,43808.0,233.98913942305492,116.98350535548718,0.010472479705185833,5.552115856489621,155.13673090174876,283.2331208587675,325.7055736448149,360.0335931240433,364.99579899376954
JapanKorea-Europe,84270.0,124.00924805247568,67.36316792508254,0.04300447519995032,31.860084051403533,75.16671589826558,112.35793817076853,157.80722301449288,326.70748124966093,364.9504743389423
SEA-SChina,712621.0,231.02573155488295,97.73655458377802,0.00018472904457667028,16.36099893493622,169.3904292200125,250.85618389717524,315.8908140834046,352.6284305788158,364.9999047484562
Europe-Russia,832287.0,196.99974184523248,110.27221039751457,1.122832031796861e-05,2.5881291184632573,113.50307177552907,225.41630702674752,270.8490049456566,361.64381627489934,364.9999507217865
JapanKorea-USAandCanada,99704.0,217.52727727338734,49.155985907366556,0.9837581347653668,106.37153491307043,186.1595225523709,224.06332731630243,254.12703581549096,295.5722754435849,363.46725671010404
NChina-JapanKorea,35779.0,186.51302118209082,95.0591764529074,0.001426854230430763,12.163168056316296,112.55271867694091,194.34354192804335,254.60377863936628,353.22825393112805,364.9848655467622
NChina-Qinghai,36269.0,242.49669997861741,120.81764195782254,0.00037753506035187456,4.0869495506560725,201.12004979634662,294.8922575598715,330.6207030241035,360.96008085897324,364.9978766057427
USAandCanada-JapanKorea,50073.0,286.6671136976915,28.00484095551166,0.2652929572479934,220.4252802693943,274.01303900259336,291.3397715255519,306.3526995561574,319.57528003492826,364.8364644621006
Russia-Europe,53031.0,186.39424592424805,100.72225076906298,0.003145504118720055,4.390877000599289,117.35429526115752,194.46416235346646,268.4470193294186,358.2592276924197,364.99529586609356
SChina-SEA,717320.0,122.8441576786501,109.72507112024412,0.0002180531589601742,5.943908753833085,40.899202767030545,77.01350758498165,180.1761344845508,358.3613724800346,364.9997140236155
Europe-JapanKorea,244018.0,241.71763589912217,80.34540230325557,0.011079721160740519,44.54058890699113,199.39074753930328,274.49591161971625,298.09772626259445,330.98603985194404,364.9934492011539
Europe-Qinghai,33926.0,120.80519628907778,143.66075764066542,0.0006087260885578871,2.2933592126064184,20.60240881526653,39.477822717274194,325.08355356227753,362.66760811040257,364.99782574687515
NChina-SChina,576423.0,180.70310082195633,108.78231759536797,0.0003769694740185514,7.698179878591306,84.62363544613424,178.2060393397103,276.88103264793995,357.3123733459077,364.99934028640723
JapanKorea-SChina,453506.0,256.4122258545961,84.59054385737255,0.00077943274163772,11.07677001279228,240.24732546541998,280.2776839778659,308.69624874565005,354.2917239654589,364.99921852641705
Europe-CA,136648.0,231.91302326288957,48.134114562251646,0.02221199803102536,122.17335185111438,203.86996922369917,243.0723751753385,269.42185947654394,289.6181869597734,364.86214169339974
Europe-Africa,25061.0,282.5260488275565,38.79753582276458,0.7916175378261414,200.19916305328593,260.1949797833515,290.77035136008135,312.2526162622262,329.96704332279364,364.7507801766801
Russia-Africa,136047.0,289.3858369087719,32.91083597841391,0.47584700635070476,212.20199056188284,270.44248087331425,297.2216649498739,315.258557506437,328.97742985510126,364.8393045572345
